DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
2961.75,30.619,14.57,0.1788,2.327,"1, 2, 3, 4",2
2962,29.427,14.266,0.1889,2.312,"1, 2, 3, 4",2
2962.25,27.944,13.821,0.2066,2.285,"1, 2, 3, 4",2
2962.5,25.959,13.243,0.2245,2.258,"1, 2, 3, 4",2
2962.75,23.884,12.525,0.2407,2.234,"1, 2, 3, 4",2
2963,22.806,11.815,0.2543,2.213,"1, 2, 3, 4",2
2963.25,22.628,11.137,0.2653,2.195,"1, 2, 3, 4",2
2963.5,22.182,10.557,0.2723,2.184,"1, 2, 3, 4",2
2963.75,21.501,10.123,0.2795,2.173,"1, 2, 3, 4",2
2964,21.226,9.861,0.2876,2.16,"1, 2, 4",3
2964.25,21.201,9.772,0.298,2.143,"1, 2, 4",3
2964.5,21.023,9.834,0.3042,2.133,"1, 2, 4",3
2964.75,20.658,10.003,0.3099,2.124,"1, 2, 4",3
2965,20.213,10.222,0.3163,2.114,"1, 2, 4",3
2965.25,19.67,10.437,0.3215,2.106,"1, 2, 4",3
2965.5,19.037,10.594,0.3214,2.107,"1, 2, 4",3
2965.75,18.648,10.723,0.3265,2.099,"1, 2, 4",3
2966,18.648,10.808,0.3313,2.091,"1, 2, 4",3
2966.25,18.413,10.832,0.34,2.077,"1, 2, 4",3
2966.5,17.781,10.833,0.3447,2.07,"1, 2, 4",3
2966.75,17.449,10.794,0.3492,2.063,"1, 2, 4",3
2967,17.652,10.766,0.3515,2.059,"1, 2, 4",3
2967.25,18.186,10.766,0.3554,2.052,"1, 2, 4",3
2967.5,18.64,10.89,0.3526,2.056,"1, 2, 4",3
2967.75,19.037,11.066,0.353,2.055,"1, 2, 4",3
2968,19.767,11.353,0.3543,2.052,"1, 2, 4",3
2968.25,20.691,11.801,0.3591,2.043,"1, 2, 4",3
2968.5,21.777,12.285,0.3602,2.04,"1, 2, 4",3
2968.75,22.692,12.856,0.3528,2.051,"1, 2, 4",3
2969,22.903,13.497,0.3423,2.068,"1, 2, 4",3
2969.25,22.717,14.198,0.337,2.077,"1, 2, 4",3
2969.5,22.555,14.943,0.3316,2.086,"1, 2, 4",3
2969.75,22.952,15.7,0.3277,2.092,"1, 2, 4",3
2970,23.949,16.398,0.3172,2.108,"1, 2, 4",3
2970.25,24.516,16.911,0.3065,2.125,"1, 2, 4",3
2970.5,24.289,17.074,0.3146,2.112,"1, 2, 4",3
2970.75,23.511,16.758,0.3267,2.093,"1, 2, 4",3
2971,22.911,16.307,0.3253,2.096,"1, 2, 4",3
2971.25,23.3,15.056,0.3268,2.093,"1, 2, 4",3
2971.5,24.062,13.774,0.3324,2.083,"1, 2, 4",3
2971.75,24.394,12.381,0.3345,2.079,"1, 2, 4",3
2972,24.046,11.28,0.3342,2.08,"1, 2, 4",3
2972.25,23.09,10.377,0.3319,2.085,"1, 2, 4",3
2972.5,22.101,9.927,0.3338,2.083,"1, 2, 4",3
2972.75,21.923,9.781,0.3327,2.085,"1, 2, 4",3
2973,23.114,9.89,0.3325,2.084,"1, 2, 4",3
2973.25,24.532,10.22,0.3326,2.082,"1, 2, 4",3
2973.5,25.294,10.751,0.3314,2.083,"1, 2, 4",3
2973.75,26.194,11.491,0.3289,2.086,"1, 2, 4",3
2974,27.328,12.475,0.3225,2.095,"1, 2, 4",3
2974.25,28.041,13.782,0.3177,2.102,"1, 2, 4",3
2974.5,28.163,15.549,0.3164,2.104,"1, 2, 4",3
2974.75,28.187,18.024,0.3146,2.107,"1, 2, 4",3
2975,27.936,21.77,0.3178,2.102,"1, 2, 4",3
2975.25,26.915,27.486,0.3174,2.104,"1, 2, 4",3
2975.5,25.683,36.43,0.3196,2.102,"1, 2, 4",3
2975.75,24.54,46.896,0.3211,2.101,"1, 2, 4",3
2976,23.414,65.142,0.3274,2.092,"1, 2, 4",3
2976.25,22.62,88.759,0.3352,2.08,"2, 4",8
2976.5,22.376,105.509,0.3391,2.074,"2, 4",8
2976.75,22.692,97.146,0.3431,2.067,"2, 4",8
2977,23.09,71.925,0.3483,2.058,"1, 2, 4",3
2977.25,23.219,49.148,0.3482,2.058,"1, 2, 4",3
2977.5,23.3,33.923,0.3506,2.054,"1, 2, 4",3
2977.75,23.689,24.42,0.3509,2.053,"1, 2, 4",3
2978,24.338,18.443,0.3522,2.05,"1, 2, 4",3
2978.25,24.727,14.689,0.3574,2.041,"1, 2, 4",3
2978.5,24.719,11.909,0.361,2.035,"1, 2, 4",3
2978.75,24.589,9.987,0.3642,2.03,"1, 2, 4",3
2979,25.01,8.709,0.3633,2.031,"1, 2, 4",3
2979.25,26.591,7.754,0.3608,2.033,"1, 2, 4",3
2979.5,28.925,7.155,0.3608,2.03,"1, 2, 4",3
2979.75,31.145,6.773,0.3583,2.031,"1, 2, 4",3
2980,33.091,6.566,0.3511,2.04,"1, 2, 4",3
2980.25,35.003,6.513,0.3512,2.037,"1, 2, 4",3
2980.5,37.021,6.544,0.345,2.044,"1, 2, 4",3
2980.75,39.063,6.794,0.3327,2.061,"1, 2, 4",3
2981,40.539,7.292,0.3178,2.083,"1, 2, 4",3
2981.25,40.66,7.956,0.3055,2.103,"1, 2, 4",3
2981.5,39.185,8.934,0.2918,2.128,"1, 2, 4",3
2981.75,36.738,10.353,0.2803,2.151,"1, 2, 4",3
2982,34.185,12.351,0.2705,2.171,"1, 2, 3, 4",2
2982.25,31.632,14.899,0.2637,2.186,"1, 2, 3, 4",2
2982.5,29.281,17.473,0.2614,2.193,"1, 2, 3, 4",2
2982.75,27.466,21.197,0.2616,2.195,"1, 2, 3, 4",2
2983,25.764,25.51,0.2612,2.198,"1, 2, 3, 4",2
2983.25,24.443,29.968,0.2622,2.198,"1, 2, 3, 4",2
2983.5,24.143,33.88,0.2618,2.199,"1, 2, 3, 4",2
2983.75,24.694,36.601,0.2559,2.208,"1, 2, 3, 4",2
2984,25.529,37.863,0.251,2.215,"1, 2, 3, 4",2
2984.25,25.902,37.822,0.2483,2.219,"1, 2, 3, 4",2
2984.5,25.61,36.826,0.2443,2.226,"1, 2, 3, 4",2
2984.75,25.213,35.202,0.2446,2.226,"1, 2, 3, 4",2
2985,24.913,33.181,0.2454,2.225,"1, 2, 3, 4",2
2985.25,24.565,30.926,0.2463,2.224,"1, 2, 3, 4",2
2985.5,24.159,28.574,0.2496,2.219,"1, 2, 3, 4",2
2985.75,23.43,26.245,0.2495,2.22,"1, 2, 3, 4",2
2986,22.303,24.041,0.2552,2.212,"1, 2, 3, 4",2
2986.25,21.461,22.035,0.2668,2.194,"1, 2, 3, 4",2
2986.5,21.396,20.263,0.2766,2.178,"1, 2, 3, 4",2
2986.75,21.777,18.739,0.2897,2.156,"1, 2, 4",3
2987,21.76,17.458,0.3067,2.128,"1, 2, 4",3
2987.25,21.031,16.324,0.323,2.102,"1, 2, 4",3
2987.5,20.383,15.472,0.3308,2.09,"1, 2, 4",3
2987.75,20.237,14.836,0.3376,2.079,"1, 2, 4",3
2988,20.099,14.416,0.3419,2.072,"1, 2, 4",3
2988.25,19.637,14.059,0.344,2.069,"1, 2, 4",3
2988.5,19.037,14.084,0.3439,2.07,"1, 2, 4",3
2988.75,18.81,14.362,0.3373,2.081,"1, 2, 4",3
2989,18.908,14.903,0.3269,2.098,"1, 2, 4",3
2989.25,18.916,15.703,0.322,2.106,"1, 2, 4",3
2989.5,19.037,16.724,0.3135,2.12,"1, 2, 4",3
2989.75,19.199,17.777,0.3079,2.129,"1, 2, 4",3
2990,19.159,18.788,0.3097,2.126,"1, 2, 4",3
2990.25,19.191,19.182,0.3115,2.123,"1, 2, 4",3
2990.5,19.37,19.398,0.3108,2.124,"1, 2, 4",3
2990.75,19.378,19.081,0.3084,2.128,"1, 2, 4",3
2991,18.932,18.255,0.3135,2.12,"1, 2, 4",3
2991.25,18.446,17.358,0.3187,2.112,"1, 2, 4",3
2991.5,18.365,15.887,0.3218,2.107,"1, 2, 4",3
2991.75,18.211,14.515,0.3243,2.103,"1, 2, 4",3
2992,17.765,13.136,0.324,2.104,"1, 2, 4",3
2992.25,17.416,11.943,0.3267,2.1,"1, 2, 4",3
2992.5,17.481,11.029,0.3267,2.1,"1, 2, 4",3
2992.75,18.17,10.375,0.3244,2.103,"1, 2, 4",3
2993,19.248,9.855,0.3249,2.101,"1, 2, 4",3
2993.25,20.82,9.648,0.3219,2.104,"1, 2, 4",3
2993.5,23.503,9.629,0.3158,2.111,"1, 2, 4",3
2993.75,27.012,9.776,0.3131,2.111,"1, 2, 4",3
2994,31.154,10.071,0.3097,2.111,"1, 2, 4",3
2994.25,35.741,10.51,0.311,2.102,"1, 2, 4",3
2994.5,39.59,11.11,0.3115,2.095,"1, 2, 4",3
2994.75,42.646,12.002,0.3149,2.084,"1, 2, 4",3
2995,45.255,13.133,0.3162,2.077,"1, 2, 4",3
